582	694910	en	Saki	0
848	1185281	en	Bagerhat	1
7268	51967	en	Middle Shabele	0
8890	56083	en	Lower Juba	0
8893	56084	en	Middle Juba	0
12010	64013	en	Bosaso	1
37099	94824	es	Kerbala	0
40284	98182	es	Bagdad	0
47268	104515	en	Makkah al Mukarramah	1
51214	108241	en	Eastern Province	1
52101	108933	en	Middle Najd	0
52102	108933	en	Qaseem Region	0
62895	116401	en	Governorship of Semnan	0
67148	119374	en	Qishm	0
81360	128231	en	the 8th Province	0
103122	142549	en	The 3rd Province	0
103131	142549	en	East Azarbaijan	0
103135	142550	en	West Azarbayejan	0
103137	142550	en	West Azerbijan	0
103141	142550	en	Western Azerbaijan	0
110729	146970	ru	Степанакерт	1
111411	147429	ru	Nakhichevan’	0
116738	162183	en	Ashkhabad	0
116740	162183	en	Ashkabad	0
124359	167541	en	Damascus City	0
160297	250092	en	Zarqa Governorate	1
161201	250582	en	Mafraq	0
161293	250625	en	District of Karak	0
161624	250799	en	Adjlun	0
164048	252910	en	Thebes	0
172113	259824	en	Kifissia	1
172327	259973	en	Scio	0
175333	262564	en	Euboea	1
177523	264353	en	Attica	0
182507	273203	en	Byblos	0
182511	273203	es	Biblos	0
194547	282926	en	Makkabim	0
202484	290333	en	Muharraq	0
204637	292932	en	Ujman	0
204884	293100	en	Sfat	0
204885	293100	en	Safed	1
204886	293100	en	Tsefat	0
205104	293253	en	Yafah	0
205106	293253	en	Yaffa	0
205187	293308	en	Tirat Hakarmel	0
205189	293308	en	Tirat Carmel	1
205205	293322	en	Teverya	0
205207	293322	en	Tabarīya	0
205208	293322	en	Tabariyeh	0
205209	293322	en	Tubaria	0
205210	293322	en	Tevaryā	0
205376	293420	en	Tarchiha	0
205378	293420	en	Tarshihah	0
205760	293703	en	Rishon le Ziyon	0
205762	293703	en	Rishon le Siyon	0
205764	293703	en	Rishon Letsiyon	0
205765	293703	en	Rishon Lsiyon	0
205766	293703	en	Rishon Le Zion	0
205898	293807	en	Ra‘anana	0
205899	293807	en	Ra‘ananah	0
205936	293825	en	Qiryat Shmona	0
205938	293825	en	Kiryat Shemoneh	0
205940	293825	en	Qiryat Shemonah	0
205950	293831	en	Qiryat Motskin	0
205951	293831	en	Qiryat Motsqin	0
205952	293831	en	Qiryat Moẕqin	0
205971	293842	en	Kiryat Gat	1
205974	293844	en	Qiryat-Beyaliq	0
205975	293844	en	Qiryat Bialiq	0
205977	293845	en	Qiryat Atta	0
206087	293918	en	Mulebbis	0
206088	293918	en	Petah Tikwah	0
206089	293918	en	Pethah Tiqvā	0
206090	293918	en	Petaẖ Tikva	0
206205	293992	en	Ofakim	1
206206	293992	en	Ofiqim	0
206342	294074	en	Ness Ziona	1
206422	294117	en	Nahariya	1
206423	294117	en	Nahariyah	0
206547	294210	en	Magidal	0
206548	294210	en	Migdal Haemeqck	0
206549	294210	en	Migdal Hameq	0
206613	294245	en	Ma’oz Tsiyon	0
207036	294492	en	Kefar Yonah	0
207037	294492	en	Kfar Yona	1
207193	294577	en	Carmiel	0
207194	294577	en	Qiryat Karmiel	0
207589	294778	en	Hertsliyah	0
207591	294778	en	Herseliya	0
207592	294778	en	Herzliyah	0
207594	294778	en	Herzlia B	0
207867	294946	en	Hedora	0
207869	294946	en	Hudeira	0
207870	294946	en	Khederah	0
207871	294946	en	Haderah	0
207872	294946	en	Hadeyra	0
207920	294981	en	Giv‘at Shmuel	1
208036	295064	en	Gederah	0
208104	295122	en	Even Yahuda	0
208105	295122	en	Even Yehudah	0
208118	295127	en	Tirah	1
208511	295328	en	Domona	0
208590	295365	en	Daliyat at Karmil	0
208591	295365	en	Daliyat ad-Druz	0
208592	295365	en	Daliyat al-Karmil	0
208593	295365	en	Daliyah	0
208732	295435	en	Beit Shean	0
208734	295435	en	Beth Shan	0
208737	295435	en	Besan	0
208917	295514	en	Benei Beraq	0
208918	295514	en	Beney Beraq	0
208919	295514	en	Benai Beraq	0
209035	295584	en	Yazir	0
209036	295584	en	Azur	0
209037	295584	en	Yazor	0
209038	295584	en	Yāzūr	0
209099	295620	en	Ashquelon	0
209126	295629	en	Ashdod Yam	0
209257	295721	en	Akre	0
209287	295740	en	Afule	0
209288	295740	en	Afuli	0
209289	295740	en	El ‘Affūle	0
209290	295740	en	Affula	0
226034	323786	es	Angora	0
230481	331677	en	Bench Maji	0
241024	349156	en	Shibîn el-Qanâṭir	0
250265	358617	en	Port Said Governorate	1
253000	360686	en	Minya	1
253608	361059	en	Alexandria Governorate	1
254597	361702	en	Aga	0
257437	364706	en	Umm Ruwaba	0
259092	367644	en	Sinnar	0
261014	371760	en	Kosti	0
265720	379555	en	El Fasher	0
270227	408646	en	Red Sea	0
270236	408654	en	Blue Nile	0
270250	408664	en	River Nile	0
272227	418862	en	Isfahan	1
272229	418863	en	Isfahan	0
276161	443336	en	Kabale	0
277081	453752	en	Karakalpakstan	0
282660	459282	en	Jēkabpils Municipality	0
301663	501165	en	Rostov Oblast	1
304389	507965	en	Kumylzhenskiy Rayon	1
316316	536199	en	Leningrad Oblast	0
319617	543728	en	Kotelnikowo	0
324350	554181	en	Kalininsky District	0
330616	569665	en	Chechnya	0
341477	587261	en	Amiradzhan	0
364789	607847	ru	Zapadno-Kazakhstanskaya Oblast’	0
365313	608668	ru	Ural’sk	0
365334	608679	en	Kandagash	0
365336	608679	en	Kandagach	0
365337	608679	en	Kandyagash	1
365494	608879	ru	Mangistauskaya Oblast’	0
366065	609862	ru	Atyrauskaya Oblast’	0
366637	610688	ru	Aktyubinskaya Oblast’	0
367411	611681	ru	Terzhol’skiy Rayon	0
368434	613064	ru	Martvil’skiy Rayon	0
368445	613073	ru	Marneul’skiy Rayon	0
368828	613582	ru	Kvarel’skiy Rayon	0
369099	614003	ru	Kharagaul’skiy Rayon	0
369175	614130	ru	Karel’skiy Rayon	0
369321	614378	ru	Gul’ripshskiy Rayon	0
369503	614611	ru	Gal’skiy Rayon	0
378538	622739	ru	Rogachëv	0
379970	625665	ru	Mogilëv	0
381096	627907	ru	Gomel’	0
381272	628281	ru	Gomelskaya Oblast	0
381273	628281	en	Gomel Oblast	0
381931	629631	ru	Brestskaya Oblast’	0
389413	656130	es	Pietarsaari	1
389939	658225	ru	Khel'sinki	0
403668	683506	es	Bucarest	0
409160	691016	ru	Tu’chin	0
409177	691037	en	Tsyurupinsk	0
409433	691374	ru	Chistyakovo	0
409435	691374	ru	Tschistjakowo	0
410631	692975	ru	Kadiyevka	0
411158	693709	en	Skadowsk	0
411228	693803	ru	Simferopol’skiy rayon	0
411628	694380	ru	Katykovskiy Rayon	0
411629	694380	ru	Chistyakovskiy Rayon	0
412326	695344	ru	Razdel’naya	0
412327	695344	ru	Posad Pazdelnaya	0
414102	697607	ru	Mangushskiy Rayon	0
416564	700569	en	Nikolayev	0
416565	700569	en	Nikolaev	0
416566	700569	en	Nikolajew	0
419202	704204	ru	Liman	0
419690	704885	ru	Korostyshev	0
421292	706950	en	Kamenets-Podilski	0
422783	708878	en	Genichesk	0
425506	712160	en	Belgorod-Dnestrovskiy	0
425885	712587	en	Belogorsk	0
428986	722064	en	Borsod-Abauj Zemplen county	0
447922	734329	en	Sérres	1
449904	735804	en	Chalkidikí	1
449905	735804	en	Chalcidice	0
452788	738648	es	Trebisonda	0
456488	745044	en	Constantinople	0
475978	781360	en	Tropojë District	0
482765	784272	en	Vojvodina	1
486669	789225	en	Kosovska Mitrovica	0
498789	862935	en	Nurlatskiy rayon	0
538747	1037390	en	Mozambique	0
551555	1114928	ru	Кашкадаринская область	0
551557	1114928	en	Kashkadarya Province	0
551560	1114929	ru	Бухарская область	0
551562	1114929	en	Bukhara	0
583411	1139807	ru	Dzhabal’-Ussaradzh	0
602856	1153269	en	Amphoe Hua Hin	0
602858	1153269	en	Ban Hua Hin	0
